Imatpoints,,Imatbarlength,Imaterrlow,Imaterrhigh,Dasatpoints,,Dasatbarlength,Dasaterrlow,Dasaterrhigh,Imatbar,,Dasatbar,
,,,,,,,,,,34.79550707,0.465138688,35.20949603,0.531350806
,,,,,,,,,,34.79550707,0.01070652,35.23592085,0.007973255
,,,,,,,,,,36.79571965,0.449133443,37.21778285,0.167913958
,,,,,,,,,,36.81407022,0.009451862,37.24420768,0.006002243
,,,,,,,,,,38.77758165,0.245212265,39.22606968,0.308266029
,,,,,,,,,,38.79593222,0.010064029,39.22606968,0.007056445
,,,,,,,,,,40.79614479,0.461756601,41.20793168,0.43722561
,,,,,,,,,,40.79614479,0.008189814,41.26078133,0.004454886
,,,,,,,,,,42.77800679,0.154639568,43.2162185,0.201106532
,,,,,,,,,,42.79635737,0.005571188,43.24264333,0.007534073
,,,,,,,,,,44.77821937,0.144531643,45.1980805,0.298939285
,,,,,,,,,,44.81492051,0.00329968,45.22450533,0.001839401
,,,,,,,,,,46.76008136,0.295277118,47.23279215,0.284532204
,,,,,,,,,,46.77843194,0.003428649,47.20636733,0.00187853
,,,,,,,,,,48.77864451,0.306797576,49.21465415,0.17547754
,,,,,,,,,,48.81534566,0.004623175,49.24107898,0.002602445
,,,,,,,,,,50.76050651,0.134431809,51.22294098,0.01526028
,,,,,,,,,,50.77885709,0.001038754,51.2493658,0.001361879
,,,,,,,,,,52.79742023,0.126666749,53.2312278,0.143053445
,,,,,,,,,,52.79742023,0.002709503,53.2312278,0.001582402
,,,,,,,,,,54.79763281,0.157442817,55.23951463,0.186898033
,,,,,,,,,,54.81598338,0.004265129,55.23951463,0.001949629
,,,,,,,,,,56.81619595,0.794419673,57.24780145,0.03483936
,,,,,,,,,,56.79784538,0.002425421,57.22137663,0.007407075
,,,,,,,,,,58.77970738,0.198431963,59.25608828,0.085756016
,,,,,,,,,,58.79805795,0.002870923,59.25608828,0.00141347
,,,,,,,,,,60.8166211,0.21126961,61.26437511,0.097328568
,,,,,,,,,,60.79827052,0.003031996,61.23795028,0.002784228
